==================================================
  训练记录 - model_14
==================================================

训练时间: 2026-05-18 18:24:20
模型目录: ./model\model_14

--- 训练配置 ---
  epochs         : 100
  batch_size     : 128
  learning_rate  : 0.001
  device         : cuda:0
  early_stop     : 禁用
  data_augmentation: 启用
  stratified_split : 禁用

--- 训练结果 ---
  最佳 epoch     : 55/100
  最佳验证准确率  : 0.8295

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc     
1        0.8897       0.6883       0.7902       0.7356      
2        0.5822       0.7890       0.7649       0.7215      
3        0.4608       0.8271       0.8760       0.7164      
4        0.4192       0.8491       0.7721       0.7316      
5        0.3560       0.8712       1.1758       0.7366      
6        0.3613       0.8776       0.7208       0.7427      
7        0.2347       0.9103       0.7163       0.7689      
8        0.2176       0.9243       0.7135       0.7851      
9        0.2053       0.9235       1.2007       0.7084      
10       0.2177       0.9246       1.7043       0.6862      
11       0.1818       0.9343       0.8363       0.7709      
12       0.1887       0.9321       1.1129       0.7195      
13       0.1477       0.9501       1.0445       0.7800      
14       0.1767       0.9414       0.8280       0.7952      
15       0.1542       0.9457       0.9658       0.7437      
16       0.1086       0.9648       1.0797       0.7437      
17       0.1430       0.9488       0.8345       0.7820      
18       0.1316       0.9514       0.7174       0.7911      
19       0.0900       0.9676       0.8455       0.7972      
20       0.0884       0.9704       0.7868       0.7972      
21       0.0849       0.9689       0.8999       0.7861      
22       0.0797       0.9732       0.7384       0.8143      
23       0.0639       0.9777       0.9566       0.7881      
24       0.0872       0.9702       1.1260       0.7578      
25       0.1404       0.9522       0.7967       0.7941      
26       0.1081       0.9656       0.7988       0.7941      
27       0.0882       0.9700       0.8770       0.7972      
28       0.1442       0.9496       0.8233       0.7770      
29       0.1170       0.9594       1.1297       0.7709      
30       0.0707       0.9786       0.8785       0.8123      
31       0.0452       0.9847       0.8165       0.8103      
32       0.0833       0.9721       0.8196       0.8032      
33       0.0832       0.9732       0.9854       0.7740      
34       0.0614       0.9797       0.8777       0.7941      
35       0.0638       0.9780       1.0266       0.7992      
36       0.0699       0.9762       0.9695       0.7851      
37       0.1086       0.9611       1.1552       0.7790      
38       0.1059       0.9663       0.9439       0.7800      
39       0.0628       0.9792       0.7865       0.8244      
40       0.0490       0.9840       0.7506       0.8123      
41       0.1031       0.9639       0.8404       0.7871      
42       0.1059       0.9652       0.8354       0.8052      
43       0.0800       0.9745       1.0825       0.7709      
44       0.0836       0.9736       0.8482       0.8022      
45       0.0690       0.9751       0.8475       0.8133      
46       0.0410       0.9868       0.8359       0.8063      
47       0.0293       0.9907       0.8716       0.8234      
48       0.0877       0.9719       0.8661       0.7871      
49       0.0557       0.9818       0.8756       0.8042      
50       0.0433       0.9857       0.7980       0.8143      
51       0.0348       0.9890       0.8535       0.8274      
52       0.0771       0.9751       0.9681       0.7830      
53       0.0532       0.9825       0.9100       0.7931      
54       0.0569       0.9827       0.8240       0.8153      
55       0.0419       0.9853       0.8683       0.8295      
56       0.0241       0.9922       0.8746       0.8204      
57       0.0219       0.9922       0.8440       0.8073      
58       0.0450       0.9864       1.0848       0.8022      
59       0.0716       0.9777       0.8584       0.7901      
60       0.0403       0.9868       0.8548       0.8042      
61       0.0343       0.9901       0.8558       0.8002      
62       0.0694       0.9775       1.0200       0.7941      
63       0.1052       0.9697       0.8694       0.7639      
64       0.0491       0.9857       0.7936       0.8093      
65       0.0469       0.9868       0.9053       0.8042      
66       0.1306       0.9589       0.8344       0.8002      
67       0.0437       0.9857       0.8156       0.8153      
68       0.0532       0.9842       0.7801       0.8184      
69       0.0320       0.9888       0.8434       0.8113      
70       0.0314       0.9896       0.9811       0.8042      
71       0.0294       0.9901       0.9036       0.8083      
72       0.0188       0.9946       0.8529       0.8153      
73       0.0339       0.9892       0.8750       0.8123      
74       0.0575       0.9821       0.9589       0.7962      
75       0.0298       0.9898       0.8384       0.8093      
76       0.0270       0.9929       0.9753       0.8103      
77       0.0194       0.9939       0.8887       0.8254      
78       0.0279       0.9901       0.9756       0.8103      
79       0.0158       0.9955       0.8979       0.8234      
80       0.0261       0.9896       0.9150       0.8103      
81       0.0282       0.9914       0.9886       0.8143      
82       0.0188       0.9935       0.8015       0.8224      
83       0.0176       0.9948       0.9534       0.8254      
84       0.0294       0.9903       0.8846       0.8032      
85       0.0141       0.9957       0.9204       0.8123      
86       0.0224       0.9929       1.0747       0.7891      
87       0.0851       0.9732       0.9530       0.7800      
88       0.1160       0.9648       1.0311       0.7820      
89       0.0500       0.9851       1.0259       0.7941      
90       0.0422       0.9872       0.8830       0.8153      
91       0.1092       0.9633       0.9052       0.7861      
92       0.0527       0.9831       0.9336       0.7921      
93       0.0344       0.9890       0.9231       0.8113      
94       0.0512       0.9827       0.8362       0.8143      
95       0.0291       0.9901       0.8379       0.8174      
96       0.0150       0.9946       0.8840       0.8133      
97       0.0114       0.9972       0.9421       0.8244      
98       0.0179       0.9944       1.0930       0.8022      
99       0.0163       0.9946       1.0393       0.7952      
100      0.0493       0.9855       1.1116       0.7820      

--- 完整路径 ---
  best.pt            : ./model\model_14/best_model_14.pt
  last.pt            : ./model\model_14/last_model_14.pt
  训练曲线          : ./model\model_14/training_history_model_14.png
  tensorboard log    : ./model\model_14\log\2026-05-18-08-54-38
