==================================================
  训练记录 - model_16
==================================================

训练时间: 2026-05-19 13:18:26
模型目录: ./model\model_16

--- 训练配置 ---
  epochs         : 100
  batch_size     : 128
  learning_rate   : 0.001
  device          : cuda:0
  loss_function   : FocalLoss (gamma=1.0)
  lr_scheduler     : CosineAnnealing
  lr_min          : 1e-06
  early_stop      : 启用
  early_stop_patience: 15
  early_stop_min_delta: 0.005
  alpha来源        : model_10_test
  data_augmentation: 启用
  stratified_split  : 启用

--- 训练结果 ---
  最佳 epoch     : 53/100
  最佳验证准确率  : 0.8111

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc      LR          
1        0.7499       0.6714       0.7490       0.6677       0.001000    
2        0.4566       0.7806       0.5876       0.7333       0.001000    
3        0.3393       0.8305       0.5901       0.7556       0.000999    
4        0.2974       0.8465       0.7102       0.7182       0.000998    
5        0.2310       0.8828       0.6187       0.7364       0.000996    
6        0.2226       0.8815       0.6794       0.7051       0.000994    
7        0.2425       0.8731       0.8300       0.6778       0.000991    
8        0.2081       0.8936       0.6513       0.7475       0.000988    
9        0.1434       0.9233       0.7024       0.7394       0.000984    
10       0.1138       0.9367       0.7127       0.7818       0.000980    
11       0.0982       0.9490       0.7174       0.7737       0.000976    
12       0.1010       0.9444       0.8523       0.7404       0.000970    
13       0.0985       0.9475       0.6515       0.7747       0.000965    
14       0.1186       0.9386       0.7674       0.7111       0.000959    
15       0.0820       0.9585       0.7674       0.7586       0.000952    
16       0.0671       0.9626       0.8106       0.7263       0.000946    
17       0.0912       0.9518       0.7380       0.7838       0.000938    
18       0.0918       0.9542       0.6963       0.7848       0.000930    
19       0.0632       0.9652       0.7582       0.7808       0.000922    
20       0.0747       0.9630       0.7501       0.7556       0.000914    
21       0.0533       0.9715       0.7914       0.7576       0.000905    
22       0.0568       0.9674       0.7944       0.7808       0.000895    
23       0.0468       0.9751       0.7170       0.7778       0.000885    
24       0.0478       0.9743       0.8346       0.7626       0.000875    
25       0.0386       0.9777       0.8595       0.7828       0.000865    
26       0.0482       0.9717       0.7989       0.7424       0.000854    
27       0.0485       0.9734       0.7986       0.7646       0.000842    
28       0.0341       0.9816       0.8383       0.7758       0.000831    
29       0.0435       0.9780       0.8566       0.7788       0.000819    
30       0.0703       0.9604       0.6880       0.7737       0.000807    
31       0.0517       0.9708       0.7719       0.7616       0.000794    
32       0.0372       0.9801       0.7157       0.7859       0.000781    
33       0.0381       0.9797       0.7623       0.7929       0.000768    
34       0.0336       0.9818       0.8448       0.7758       0.000755    
35       0.0424       0.9784       0.7721       0.7848       0.000741    
36       0.0194       0.9901       0.7840       0.8000       0.000727    
37       0.0099       0.9944       0.8396       0.7970       0.000713    
38       0.0410       0.9831       0.7871       0.7687       0.000699    
39       0.0194       0.9894       0.7456       0.8051       0.000684    
40       0.0160       0.9918       0.8925       0.7788       0.000670    
41       0.0178       0.9907       0.8456       0.7677       0.000655    
42       0.0130       0.9933       0.9376       0.7960       0.000640    
43       0.0181       0.9914       0.8350       0.7990       0.000625    
44       0.0140       0.9920       0.8910       0.7869       0.000609    
45       0.0105       0.9952       0.8541       0.8051       0.000594    
46       0.0059       0.9970       0.7801       0.8040       0.000579    
47       0.0070       0.9963       0.7937       0.7980       0.000563    
48       0.0104       0.9939       0.7768       0.7970       0.000548    
49       0.0083       0.9955       0.8510       0.7939       0.000532    
50       0.0063       0.9963       0.8440       0.8020       0.000516    
51       0.0080       0.9959       0.8339       0.7939       0.000501    
52       0.0065       0.9961       0.8474       0.8000       0.000485    
53       0.0049       0.9978       0.8589       0.8111       0.000469    
54       0.0024       0.9987       0.8638       0.8020       0.000453    
55       0.0031       0.9983       0.9208       0.8051       0.000438    
56       0.0183       0.9911       0.8466       0.7869       0.000422    
57       0.0072       0.9961       0.7921       0.8040       0.000407    
58       0.0048       0.9972       0.8460       0.8010       0.000392    
59       0.0042       0.9981       0.8070       0.8121       0.000376    
60       0.0070       0.9957       0.8221       0.8030       0.000361    
61       0.0054       0.9968       0.8223       0.8071       0.000346    
62       0.0047       0.9976       0.8353       0.8091       0.000331    
63       0.0048       0.9965       0.8711       0.8061       0.000317    
64       0.0060       0.9963       0.8735       0.8040       0.000302    
65       0.0024       0.9985       0.9195       0.8061       0.000288    
66       0.0017       0.9989       0.8967       0.8071       0.000274    
67       0.0021       0.9981       0.8948       0.8121       0.000260    
68       0.0016       0.9991       0.9401       0.8081       0.000246    
69       0.0026       0.9981       0.9383       0.8131       0.000233    
70       0.0022       0.9985       0.9218       0.8101       0.000220    
71       0.0021       0.9987       0.9590       0.8020       0.000207    
72       0.0018       0.9989       0.9534       0.8121       0.000194    
73       0.0013       0.9991       0.9583       0.8111       0.000182    

--- 完整路径 ---
  best.pt            : ./model\model_16/best_model_16.pt
  last.pt            : ./model\model_16/last_model_16.pt
  训练曲线          : ./model\model_16/training_history_model_16.png
  tensorboard log    : ./model\model_16\log\2026-05-19-04-07-43
