==================================================
  训练记录 - model_18
==================================================

训练时间: 2026-05-20 03:02:04
模型目录: ./model\model_18

--- 训练配置 ---
  epochs         : 100
  batch_size     : 128
  learning_rate  : 0.001
  device         : cuda:0
  early_stop     : 启用
  early_stop_patience : 15
  early_stop_min_delta: 0.005
  lr_scheduler   : CosineAnnealing
  lr_min         : 1e-06
  data_augmentation: 启用
  stratified_split : 启用

--- 训练结果 ---
  最佳 epoch     : 68/100
  最佳验证准确率  : 0.8374

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc      LR          
1        0.8879       0.6768       1.0407       0.6960       0.001000    
2        0.5995       0.7870       0.7917       0.7253       0.001000    
3        0.4730       0.8268       0.7820       0.7465       0.000999    
4        0.4430       0.8432       0.7790       0.7333       0.000998    
5        0.3577       0.8722       0.6705       0.7667       0.000996    
6        0.3199       0.8841       0.5662       0.7909       0.000994    
7        0.3216       0.8839       0.7789       0.7586       0.000991    
8        0.2750       0.8975       1.1323       0.7202       0.000988    
9        0.2492       0.9148       1.0730       0.6525       0.000984    
10       0.2938       0.8951       0.9183       0.7242       0.000980    
11       0.2257       0.9168       0.7191       0.7798       0.000976    
12       0.1963       0.9302       0.7242       0.7737       0.000970    
13       0.2176       0.9252       0.7068       0.7737       0.000965    
14       0.1332       0.9526       0.7524       0.7737       0.000959    
15       0.1143       0.9615       0.7526       0.7808       0.000952    
16       0.1438       0.9501       0.7277       0.8051       0.000946    
17       0.1674       0.9399       0.7967       0.7828       0.000938    
18       0.1311       0.9576       0.9826       0.7455       0.000930    
19       0.1378       0.9559       0.8215       0.7828       0.000922    
20       0.0998       0.9639       0.7941       0.8152       0.000914    
21       0.0737       0.9745       0.9602       0.7919       0.000905    
22       0.0856       0.9719       0.8520       0.7838       0.000895    
23       0.0617       0.9805       0.9659       0.8000       0.000885    
24       0.1681       0.9405       0.8429       0.7657       0.000875    
25       0.0832       0.9717       0.8333       0.7869       0.000865    
26       0.0771       0.9749       0.7681       0.8081       0.000854    
27       0.0414       0.9879       0.8119       0.8081       0.000842    
28       0.0388       0.9885       0.9911       0.7869       0.000831    
29       0.0397       0.9875       0.9822       0.7939       0.000819    
30       0.0771       0.9747       0.8917       0.8020       0.000807    
31       0.0444       0.9842       0.9473       0.7889       0.000794    
32       0.0829       0.9738       0.8596       0.7737       0.000781    
33       0.0745       0.9764       0.8678       0.7889       0.000768    
34       0.0802       0.9715       0.7502       0.7919       0.000755    
35       0.0405       0.9879       0.7845       0.8212       0.000741    
36       0.0233       0.9944       0.8918       0.8010       0.000727    
37       0.0304       0.9888       0.8771       0.7990       0.000713    
38       0.0328       0.9892       0.9090       0.7879       0.000699    
39       0.0444       0.9855       0.8358       0.8061       0.000684    
40       0.0247       0.9922       0.8501       0.8162       0.000670    
41       0.0253       0.9918       0.9198       0.8253       0.000655    
42       0.0182       0.9944       0.8490       0.8192       0.000640    
43       0.0139       0.9955       0.9228       0.7980       0.000625    
44       0.0114       0.9968       0.8928       0.8192       0.000609    
45       0.0516       0.9818       1.1294       0.7596       0.000594    
46       0.0402       0.9866       0.9045       0.8101       0.000579    
47       0.0286       0.9909       0.9009       0.8152       0.000563    
48       0.0223       0.9929       0.8902       0.8040       0.000548    
49       0.0180       0.9952       0.8949       0.8303       0.000532    
50       0.0128       0.9961       0.8660       0.8222       0.000516    
51       0.0192       0.9946       0.9063       0.8081       0.000501    
52       0.0113       0.9955       0.9025       0.8242       0.000485    
53       0.0203       0.9937       0.9262       0.8162       0.000469    
54       0.0111       0.9974       0.8376       0.8343       0.000453    
55       0.0071       0.9978       0.8853       0.8212       0.000438    
56       0.0077       0.9976       0.8860       0.8232       0.000422    
57       0.0053       0.9978       0.8856       0.8232       0.000407    
58       0.0272       0.9909       0.9626       0.7879       0.000392    
59       0.0178       0.9939       0.9173       0.8182       0.000376    
60       0.0065       0.9978       0.9013       0.8212       0.000361    
61       0.0069       0.9978       0.9025       0.8222       0.000346    
62       0.0126       0.9965       0.9500       0.8242       0.000331    
63       0.0066       0.9981       0.8961       0.8283       0.000317    
64       0.0045       0.9985       0.9412       0.8263       0.000302    
65       0.0067       0.9976       0.9679       0.8242       0.000288    
66       0.0093       0.9970       0.9445       0.8242       0.000274    
67       0.0041       0.9987       0.9408       0.8303       0.000260    
68       0.0027       0.9994       0.9267       0.8374       0.000246    
69       0.0033       0.9989       0.9071       0.8374       0.000233    
70       0.0021       0.9994       0.8993       0.8414       0.000220    
71       0.0020       0.9989       0.9337       0.8384       0.000207    
72       0.0014       0.9996       0.9050       0.8404       0.000194    
73       0.0016       0.9994       0.9199       0.8384       0.000182    
74       0.0047       0.9981       0.9575       0.8192       0.000170    
75       0.0019       0.9996       0.9505       0.8212       0.000159    
76       0.0026       0.9996       0.9368       0.8283       0.000147    
