==================================================
  训练记录 - model_2
==================================================

训练时间: 2026-05-16 18:43:43
模型目录: ./model\model_2

--- 训练配置 ---
  epochs         : 100
  batch_size     : 128
  learning_rate  : 0.001
  device         : cuda:0
  loss_function  : FocalLoss (gamma=2.0)
  alpha_weights : 
      cloudy: 1.4598
        haze: 0.9323
       rainy: 1.1366
       shine: 0.7702
        snow: 0.9526
       sunny: 1.2487
     sunrise: 0.7321
     thunder: 0.7678
--- 训练结果 ---
  最佳 epoch     : 91/100
  最佳验证准确率  : 0.7235

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc     
1        1.1991       0.6044       1.3443       0.5187      
2        1.1614       0.6338       1.3860       0.4591      
3        1.1182       0.6703       1.2526       0.5822      
4        1.1111       0.6818       1.4446       0.4289      
5        1.1325       0.6552       1.1839       0.6337      
6        1.0817       0.7026       1.2545       0.5570      
7        1.0801       0.7062       1.1426       0.6670      
8        1.0946       0.6920       1.1895       0.6266      
9        1.0605       0.7168       1.2184       0.6085      
10       1.0775       0.7088       1.2725       0.5671      
11       1.1016       0.6829       1.1902       0.6357      
12       1.0655       0.7181       1.1745       0.6478      
13       1.0767       0.7002       1.2928       0.5570      
14       1.0486       0.7259       1.1463       0.6589      
15       1.0547       0.7216       1.2273       0.5802      
16       1.0576       0.7227       1.2339       0.5843      
17       1.0499       0.7203       1.2135       0.6014      
18       1.0421       0.7291       1.2829       0.5590      
19       1.0322       0.7283       1.1892       0.6236      
20       1.0082       0.7531       1.1836       0.6408      
21       1.0040       0.7629       1.1208       0.6741      
22       0.9848       0.7793       1.1720       0.6337      
23       0.9924       0.7642       1.1896       0.6276      
24       0.9697       0.7830       1.1024       0.6963      
25       0.9483       0.8035       1.1562       0.6559      
26       0.9557       0.8007       1.1009       0.6902      
27       0.9376       0.8083       1.1242       0.6842      
28       0.9420       0.8119       1.1924       0.6155      
29       0.9469       0.8065       1.1217       0.6781      
30       0.9298       0.8208       1.1594       0.6418      
31       0.9196       0.8232       1.1873       0.6155      
32       0.9304       0.8201       1.1233       0.6680      
33       0.8898       0.8478       1.1113       0.6781      
34       0.8992       0.8372       1.1439       0.6640      
35       0.8855       0.8517       1.1226       0.6831      
36       0.8745       0.8586       1.2023       0.6266      
37       0.8633       0.8701       1.1378       0.6751      
38       0.9237       0.8197       1.1658       0.6418      
39       0.8967       0.8407       1.0876       0.6963      
40       0.8586       0.8718       1.1403       0.6650      
41       0.8475       0.8802       1.1524       0.6458      
42       0.8755       0.8580       1.1336       0.6569      
43       0.8668       0.8673       1.1277       0.6761      
44       0.8618       0.8686       1.1046       0.6862      
45       0.9041       0.8353       1.1505       0.6589      
46       0.8949       0.8411       1.1455       0.6650      
47       0.9002       0.8377       1.1607       0.6549      
48       0.9119       0.8318       1.1959       0.6226      
49       0.8737       0.8608       1.1779       0.6337      
50       0.8537       0.8742       1.1022       0.6983      
51       0.8372       0.8902       1.0995       0.6912      
52       0.8627       0.8696       1.1119       0.6852      
53       0.8535       0.8753       1.1155       0.6862      
54       0.8419       0.8800       1.1275       0.6781      
55       0.8759       0.8565       1.0917       0.6983      
56       0.8602       0.8690       1.1340       0.6720      
57       0.8324       0.8934       1.1178       0.6801      
58       0.8709       0.8578       1.1223       0.6922      
59       0.8527       0.8727       1.1339       0.6630      
60       0.8197       0.9008       1.1063       0.6912      
61       0.8083       0.9099       1.1409       0.6569      
62       0.8088       0.9090       1.1002       0.6953      
63       0.8093       0.9088       1.1201       0.6862      
64       0.8060       0.9142       1.0844       0.7033      
65       0.8037       0.9137       1.1086       0.6771      
66       0.7959       0.9200       1.1056       0.6912      
67       0.7888       0.9256       1.0863       0.7053      
68       0.7871       0.9261       1.1151       0.6781      
69       0.7841       0.9302       1.1050       0.6912      
70       0.7935       0.9198       1.0986       0.6963      
71       0.7914       0.9243       1.1070       0.6942      
72       0.8024       0.9146       1.1587       0.6519      
73       0.8213       0.9012       1.1522       0.6640      
74       0.8016       0.9189       1.1212       0.6862      
75       0.7954       0.9220       1.0972       0.7033      
76       0.7966       0.9209       1.1190       0.6912      
77       0.7893       0.9254       1.0996       0.7084      
78       0.7813       0.9326       1.0785       0.7053      
79       0.7942       0.9181       1.1260       0.6690      
80       0.9013       0.8400       1.1249       0.6791      
81       0.8705       0.8636       1.2541       0.5812      
82       0.8557       0.8789       1.1526       0.6640      
83       0.8309       0.8956       1.1446       0.6589      
84       0.8357       0.8885       1.1375       0.6791      
85       0.8208       0.9014       1.1257       0.6852      
86       0.8119       0.9094       1.1198       0.6852      
87       0.8806       0.8580       1.1706       0.6327      
88       0.8366       0.8876       1.1266       0.6791      
89       0.8573       0.8655       1.1559       0.6650      
90       0.8196       0.9036       1.1316       0.6781      
91       0.7906       0.9250       1.0671       0.7235      
92       0.7767       0.9360       1.1238       0.6620      
93       0.7841       0.9287       1.1019       0.6932      
94       0.7717       0.9390       1.0884       0.6983      
95       0.7664       0.9429       1.1047       0.7023      
96       0.7663       0.9449       1.0960       0.7043      
97       0.7656       0.9447       1.1109       0.6983      
98       0.8187       0.8958       1.1279       0.6710      
99       0.7903       0.9224       1.1103       0.6882      
100      0.7700       0.9401       1.1153       0.6771      

--- 完整路径 ---
  best.pt            : ./model\model_2/best_model_2.pt
  last.pt            : ./model\model_2/last_model_2.pt
  训练曲线          : ./model\model_2/training_history_model_2.png
  tensorboard log    : ./model\model_2\log\2026-05-16-09-40-41
