==================================================
  训练记录 - model_22
==================================================

训练时间: 2026-06-07 13:02:15
模型目录: ./model\model_22

--- 训练配置 ---
  epochs              : 100
  batch_size          : 128
  learning_rate        : 0.001
  device               : cuda:0
  loss_function        : FocalLoss (gamma=1.0)
  alpha来源             : model_18_test
  alpha动态更新          : 启用（每5 epoch）
  lr_scheduler         : CosineAnnealing
  lr_min               : 1e-06
  early_stop           : 启用
  early_stop_patience   : 15
  early_stop_min_delta  : 0.005
  data_augmentation    : 启用
  stratified_split     : 启用

--- 训练结果 ---
  最佳 epoch           : 53/100
  最佳验证准确率         : 0.8646

--- Alpha 动态更新记录 ---
Epoch      cloudy     haze    rainy    shine     snow    sunny  sunrise  thunder   Spearman ρ
----------------------------------------------------------------------------------------------------
0          1.5706   1.1765   1.2244   0.9901   1.1583   1.2552   1.0277   1.0101  0.0000
3          1.3873   1.6298   0.7447   1.1783   1.2573   0.5223   1.2339   0.0465  1.0000
6          0.7051   0.4978   1.2001   1.4606   0.6518   1.2275   1.6994   0.5576  1.0000
9          2.4768   1.1796   1.0193   1.1333   0.7957   0.5774   0.6781   0.1399  1.0000
12         0.7069   1.3058   1.9114   1.3400   0.2678   1.6653   0.5953   0.2075  1.0000
15         1.8460   0.6870   0.3466   2.3083   1.1089   0.9776   0.4834   0.2422  1.0000
18         1.0556   1.4927   1.9042   1.1938   0.4496   1.1050   0.7292   0.0700  1.0000
21         2.0462   0.9881   0.4972   0.9126   0.8453   0.9756   1.1680   0.5669  1.0000
24         1.4438   1.2028   1.7795   1.2396   0.5467   1.0832   0.4945   0.2098  1.0000
27         1.7186   1.0039   0.7633   1.6590   0.7704   1.5941   0.3474   0.1433  1.0000
30         1.6154   1.0757   0.9914   1.4680   0.5640   1.0099   1.1387   0.1369  1.0000
33         1.8244   1.0562   1.0489   1.1107   0.7499   1.2837   0.7754   0.1508  1.0000
36         2.0178   1.2583   1.0097   1.5094   0.6617   1.0841   0.2634   0.1956  1.0000
39         1.7634   1.1631   0.9626   2.0474   0.5478   0.9423   0.4764   0.0969  1.0000
42         1.7792   1.0857   1.0389   1.7583   0.9424   0.9014   0.3682   0.1259  1.0000
45         1.6549   1.1421   1.0284   1.5413   0.5626   1.1197   0.8369   0.1141  1.0000
48         1.8738   1.1470   0.9348   1.4920   0.4745   1.3579   0.6510   0.0691  1.0000
51         1.8820   1.0031   1.0278   1.0977   0.7772   0.8608   1.0217   0.3296  1.0000
54         1.4482   1.1697   1.0908   1.4851   0.5339   0.9563   1.2671   0.0489  1.0000
57         2.2817   1.1931   0.9893   1.4527   0.6997   0.7285   0.5071   0.1479  1.0000
60         1.7876   1.2228   1.0262   1.9263   0.5662   1.0925   0.2690   0.1094  1.0000
63         1.8268   1.1263   1.0279   1.2975   0.6455   1.0467   0.9058   0.1235  1.0000
66         1.9470   1.3271   0.9445   1.3930   0.4817   1.1188   0.6946   0.0933  1.0000
68         1.9470   1.3271   0.9445   1.3930   0.4817   1.1188   0.6946   0.0933  0.0000

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc      LR          
1        0.4747       0.7664       0.4589       0.7695       0.001000    
2        0.3514       0.8194       0.3914       0.8069       0.001000    
3        0.3075       0.8367       0.4519       0.7854       0.000999    
4        0.2642       0.8331       0.4124       0.7614       0.000998    
5        0.2408       0.8439       0.3594       0.8000       0.000996    
6        0.2221       0.8525       0.3651       0.7738       0.000994    
7        0.1626       0.8765       0.2701       0.8208       0.000991    
8        0.1445       0.8874       0.2624       0.8240       0.000988    
9        0.1360       0.8917       0.2451       0.8269       0.000984    
10       0.2506       0.8555       0.4076       0.8081       0.000980    
11       0.2232       0.8682       0.4291       0.7880       0.000976    
12       0.1990       0.8806       0.4813       0.7757       0.000970    
13       0.1550       0.8966       0.4267       0.7940       0.000965    
14       0.1356       0.9054       0.3178       0.8219       0.000959    
15       0.1266       0.9103       0.3872       0.7952       0.000952    
16       0.1134       0.9086       0.4492       0.7891       0.000946    
17       0.0980       0.9205       0.3234       0.8386       0.000938    
18       0.0896       0.9270       0.3182       0.8162       0.000930    
19       0.1267       0.9254       0.3893       0.8356       0.000922    
20       0.1113       0.9335       0.3821       0.8410       0.000914    
21       0.0984       0.9403       0.3943       0.8239       0.000905    
22       0.0898       0.9418       0.3836       0.8412       0.000895    
23       0.0827       0.9450       0.3625       0.8257       0.000885    
24       0.0738       0.9507       0.3530       0.8403       0.000875    
25       0.0940       0.9500       0.4208       0.8362       0.000865    
26       0.0837       0.9556       0.4230       0.8439       0.000854    
27       0.0759       0.9606       0.4606       0.8370       0.000842    
28       0.0690       0.9601       0.4422       0.8398       0.000831    
29       0.0619       0.9642       0.5335       0.8243       0.000819    
30       0.0645       0.9631       0.4216       0.8498       0.000807    
31       0.0495       0.9711       0.4007       0.8531       0.000794    
32       0.0467       0.9713       0.4027       0.8527       0.000781    
33       0.0468       0.9716       0.4219       0.8508       0.000768    
34       0.0576       0.9673       0.4715       0.8399       0.000755    
35       0.0513       0.9716       0.4740       0.8464       0.000741    
36       0.0526       0.9711       0.4693       0.8510       0.000727    
37       0.0531       0.9716       0.5097       0.8470       0.000713    
38       0.0473       0.9745       0.5495       0.8423       0.000699    
39       0.0451       0.9746       0.5154       0.8544       0.000684    
40       0.0369       0.9782       0.4428       0.8505       0.000670    
41       0.0326       0.9788       0.4495       0.8557       0.000655    
42       0.0329       0.9790       0.4569       0.8490       0.000640    
43       0.0373       0.9777       0.4831       0.8501       0.000625    
44       0.0378       0.9776       0.4919       0.8474       0.000609    
45       0.0302       0.9822       0.4848       0.8513       0.000594    
46       0.0289       0.9819       0.4687       0.8555       0.000579    
47       0.0286       0.9816       0.5098       0.8538       0.000563    
48       0.0299       0.9813       0.4832       0.8579       0.000548    
49       0.0265       0.9837       0.5561       0.8586       0.000532    
50       0.0311       0.9806       0.5167       0.8528       0.000516    
51       0.0260       0.9834       0.5113       0.8544       0.000501    
52       0.0258       0.9836       0.4632       0.8575       0.000485    
53       0.0216       0.9861       0.5056       0.8646       0.000469    
54       0.0218       0.9865       0.5164       0.8554       0.000453    
55       0.0213       0.9847       0.4851       0.8529       0.000438    
56       0.0179       0.9869       0.4836       0.8621       0.000422    
57       0.0171       0.9879       0.5262       0.8494       0.000407    
58       0.0235       0.9858       0.5415       0.8580       0.000392    
59       0.0216       0.9871       0.5839       0.8549       0.000376    
60       0.0189       0.9886       0.5725       0.8637       0.000361    
61       0.0171       0.9884       0.5493       0.8601       0.000346    
62       0.0167       0.9883       0.5360       0.8654       0.000331    
63       0.0159       0.9890       0.5560       0.8584       0.000317    
64       0.0142       0.9900       0.5728       0.8590       0.000302    
65       0.0148       0.9895       0.5496       0.8630       0.000288    
66       0.0142       0.9892       0.5915       0.8656       0.000274    
67       0.0144       0.9896       0.6184       0.8622       0.000260    
68       0.0150       0.9899       0.6133       0.8624       0.000246    

--- 完整路径 ---
  best.pt                 : ./model\model_22/best_model_22.pt
  last.pt                 : ./model\model_22/last_model_22.pt
  训练曲线                : ./model\model_22/training_history_model_22.png
  Alpha/Spearman 演化图    : ./model\model_22/alpha_spearman_model_22.png
  tensorboard log         : ./model\model_22\log\2026-06-07-01-18-29
