==================================================
  训练记录 - model_3
==================================================

训练时间: 2026-05-16 22:09:08
模型目录: ./model\model_3

--- 训练配置 ---
  epochs       : 100
  batch_size   : 128
  learning_rate: 0.001
  device       : cuda:0

--- 训练结果 ---
  最佳 epoch     : 60/100
  最佳验证准确率  : 0.7437

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc     
1        1.3191       0.6051       1.4002       0.5489      
2        1.2627       0.6442       1.3492       0.5994      
3        1.2507       0.6593       1.5122       0.4601      
4        1.3141       0.5990       1.4408       0.5388      
5        1.3140       0.6085       1.4238       0.5580      
6        1.2882       0.6224       1.3949       0.5510      
7        1.2488       0.6576       1.3529       0.6034      
8        1.3112       0.6092       1.3647       0.5681      
9        1.2865       0.6284       1.5816       0.4228      
10       1.2685       0.6338       1.3546       0.5883      
11       1.2431       0.6630       1.2895       0.6297      
12       1.2240       0.6768       1.2925       0.6196      
13       1.2103       0.6846       1.3612       0.5832      
14       1.2267       0.6684       1.3078       0.6155      
15       1.2042       0.6859       1.2993       0.6125      
16       1.1962       0.6917       1.3671       0.5721      
17       1.2099       0.6848       1.2805       0.6498      
18       1.1816       0.7099       1.3136       0.6347      
19       1.2203       0.6792       1.3311       0.6054      
20       1.2017       0.6887       1.3190       0.6186      
21       1.2105       0.6801       1.2873       0.6377      
22       1.1811       0.7086       1.2966       0.6408      
23       1.1768       0.7064       1.2832       0.6377      
24       1.1567       0.7289       1.2563       0.6640      
25       1.1897       0.7064       1.2757       0.6337      
26       1.1868       0.7002       1.2840       0.6448      
27       1.1810       0.7108       1.2794       0.6468      
28       1.1533       0.7315       1.3472       0.5843      
29       1.1529       0.7298       1.3282       0.6176      
30       1.1384       0.7404       1.3421       0.5721      
31       1.1414       0.7387       1.3048       0.6317      
32       1.1141       0.7577       1.2482       0.6690      
33       1.1103       0.7613       1.2176       0.6973      
34       1.0927       0.7810       1.2538       0.6670      
35       1.0883       0.7799       1.3188       0.6357      
36       1.1757       0.7093       1.3017       0.6458      
37       1.1639       0.7205       1.3337       0.6024      
38       1.1289       0.7486       1.2520       0.6519      
39       1.0785       0.7862       1.2544       0.6781      
40       1.0985       0.7719       1.2611       0.6690      
41       1.0916       0.7756       1.2290       0.6852      
42       1.0872       0.7758       1.2863       0.6488      
43       1.0702       0.7916       1.2433       0.6680      
44       1.0513       0.8076       1.2370       0.6882      
45       1.0479       0.8106       1.2295       0.6791      
46       1.0374       0.8184       1.2415       0.6700      
47       1.0240       0.8273       1.1943       0.7164      
48       1.0291       0.8292       1.2119       0.7114      
49       1.0701       0.8000       1.2734       0.6620      
50       1.0520       0.8119       1.2393       0.6731      
51       1.0261       0.8316       1.2342       0.6831      
52       1.0282       0.8279       1.2718       0.6398      
53       1.0079       0.8452       1.2636       0.6710      
54       1.0032       0.8528       1.2016       0.7094      
55       1.0163       0.8415       1.2176       0.6983      
56       1.0034       0.8534       1.2190       0.7074      
57       1.0006       0.8532       1.2267       0.6973      
58       0.9868       0.8636       1.2034       0.7114      
59       1.0112       0.8437       1.2069       0.7134      
60       1.0030       0.8502       1.1692       0.7437      
61       1.0232       0.8361       1.1826       0.7215      
62       1.0396       0.8256       1.2401       0.6791      
63       1.0042       0.8539       1.2557       0.6791      
64       1.0159       0.8420       1.2445       0.6731      
65       0.9807       0.8681       1.2097       0.7084      
66       0.9759       0.8731       1.2210       0.6993      
67       0.9671       0.8813       1.2243       0.7084      
68       0.9641       0.8833       1.2287       0.6882      
69       0.9584       0.8865       1.2057       0.7104      
70       0.9507       0.8947       1.1913       0.7175      
71       0.9844       0.8645       1.2073       0.7185      
72       0.9704       0.8802       1.2025       0.7074      
73       0.9574       0.8898       1.2020       0.7205      
74       0.9705       0.8729       1.2192       0.6922      
75       0.9588       0.8874       1.2138       0.7164      
76       0.9525       0.8923       1.2084       0.7114      
77       0.9392       0.9032       1.1702       0.7316      
78       0.9381       0.9025       1.1965       0.7033      
79       0.9547       0.8874       1.2287       0.6932      
80       0.9527       0.8863       1.1931       0.7175      
81       0.9246       0.9133       1.2041       0.7074      
82       0.9388       0.9014       1.1908       0.7265      
83       0.9278       0.9112       1.1993       0.7154      
84       0.9244       0.9144       1.2051       0.7074      
85       0.9214       0.9155       1.1817       0.7225      
86       0.9130       0.9235       1.1757       0.7336      

--- 完整路径 ---
  best.pt            : ./model\model_3/best_model_3.pt
  last.pt            : ./model\model_3/last_model_3.pt
  训练曲线          : ./model\model_3/training_history_model_3.png
  tensorboard log    : ./model\model_3\log\2026-05-16-13-14-48
