==================================================
  训练记录 - model_31
==================================================

训练时间: 2026-06-09 02:21:09
模型目录: ./model\model_31

--- 训练配置 ---
  epochs              : 100
  batch_size          : 128
  learning_rate        : 0.001
  device               : cuda:0
  loss_function        : FocalLoss (gamma=1.0)
  alpha来源             : model_18_test
  num_workers          : 4
  alpha动态更新          : 启用
    更新间隔              : 每 3 epoch
    warmup               : 0 epoch
    模式                  : 梯度学习（F1均衡（低F1→高alpha））
    alpha lr             : 0.5
    alpha momentum       : 0.1
    clamp                : [0.5, 2.0]
  lr_scheduler         : CosineAnnealing
  lr_min               : 1e-06
  early_stop           : 启用
  early_stop_patience   : 10
  early_stop_min_delta  : 0.005
  data_augmentation    : 启用
  stratified_split     : 启用
  save_misclassified   : 禁用

--- 训练结果 ---
  最佳 epoch           : 41/100
  最佳验证准确率         : 0.8647

--- Alpha 动态更新记录（梯度学习） ---
Epoch      cloudy     haze    rainy    shine     snow    sunny  sunrise  thunder   Spearman ρ
----------------------------------------------------------------------------------------------------
0          1.5706   1.1765   1.2244   0.9901   1.1583   1.2552   1.0277   1.0101  0.0000
3          1.5896   1.0092   1.1189   0.8552   0.8450   1.0488   0.9072   0.6260  0.7857
6          1.7827   0.9971   1.1077   0.8073   0.6552   1.0165   1.1437   0.4898  0.9048
9          1.9402   0.9969   1.1368   0.8431   0.4851   1.0243   1.0885   0.4851  0.6826
12         1.9499   0.9853   1.2068   0.9193   0.4875   1.0244   0.9394   0.4875  0.7904
15         1.9700   1.0247   1.2431   0.8901   0.4925   1.0418   0.8454   0.4925  0.9222
18         1.9798   1.0666   1.2927   0.8855   0.4949   1.0660   0.7195   0.4949  0.9940
21         1.9733   1.0721   1.3356   1.0091   0.4933   1.0618   0.5616   0.4933  0.8144
24         1.9514   1.1065   1.3992   1.0053   0.4879   1.0740   0.4879   0.4879  0.9759
27         1.9312   1.0789   1.3906   1.0983   0.4828   1.0525   0.4828   0.4828  0.9271
30         1.9280   1.0840   1.3770   1.1183   0.4820   1.0466   0.4820   0.4820  0.9027
33         1.9500   1.1148   1.3709   1.0466   0.4875   1.0552   0.4875   0.4875  0.8539
36         1.9474   1.1446   1.3846   0.9777   0.4869   1.0852   0.4869   0.4869  0.8783
39         1.9347   1.1566   1.3789   1.0006   0.4837   1.0783   0.4837   0.4837  0.8051
42         1.9353   1.1771   1.3916   0.9702   0.4838   1.0743   0.4838   0.4838  0.9759
45         1.9493   1.1910   1.3876   0.9393   0.4873   1.0709   0.4873   0.4873  0.9515
48         1.9498   1.1825   1.3516   0.9622   0.4874   1.0458   0.5333   0.4874  0.5389
51         1.9680   1.2017   1.3835   0.8671   0.4920   1.0493   0.5463   0.4920  0.9701

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc      LR          
1        0.4733       0.7701       0.5036       0.7434       0.001000    
2        0.3477       0.8213       0.4320       0.7814       0.001000    
3        0.3100       0.8355       0.3775       0.8019       0.000999    
4        0.2961       0.8465       0.4428       0.7720       0.000998    
5        0.2739       0.8559       0.3896       0.7953       0.000996    
6        0.2512       0.8673       0.4230       0.7995       0.000994    
7        0.2378       0.8729       0.3399       0.8225       0.000991    
8        0.2191       0.8825       0.3827       0.8119       0.000988    
9        0.2050       0.8879       0.3503       0.8107       0.000984    
10       0.1935       0.8936       0.4013       0.8328       0.000980    
11       0.1794       0.9009       0.3424       0.8315       0.000976    
12       0.1642       0.9089       0.4154       0.8122       0.000970    
13       0.1571       0.9141       0.3524       0.8414       0.000965    
14       0.1461       0.9192       0.4496       0.8303       0.000959    
15       0.1358       0.9252       0.3825       0.8454       0.000952    
16       0.1288       0.9299       0.3786       0.8362       0.000946    
17       0.1224       0.9342       0.3881       0.8203       0.000938    
18       0.1171       0.9354       0.4307       0.8417       0.000930    
19       0.1060       0.9436       0.4392       0.8432       0.000922    
20       0.1038       0.9443       0.4167       0.8389       0.000914    
21       0.0988       0.9489       0.4358       0.8283       0.000905    
22       0.0901       0.9522       0.4248       0.8343       0.000895    
23       0.0865       0.9533       0.4065       0.8521       0.000885    
24       0.0786       0.9571       0.4754       0.8188       0.000875    
25       0.0822       0.9581       0.4895       0.8197       0.000865    
26       0.0754       0.9604       0.4610       0.8343       0.000854    
27       0.0716       0.9634       0.4400       0.8387       0.000842    
28       0.0713       0.9622       0.4874       0.8403       0.000831    
29       0.0664       0.9645       0.4465       0.8383       0.000819    
30       0.0619       0.9671       0.4977       0.8492       0.000807    
31       0.0574       0.9694       0.4730       0.8551       0.000794    
32       0.0585       0.9685       0.4384       0.8456       0.000781    
33       0.0533       0.9716       0.4514       0.8584       0.000768    
34       0.0503       0.9730       0.4677       0.8420       0.000755    
35       0.0500       0.9738       0.4987       0.8522       0.000741    
36       0.0517       0.9726       0.4818       0.8550       0.000727    
37       0.0470       0.9750       0.4682       0.8603       0.000713    
38       0.0447       0.9760       0.4589       0.8599       0.000699    
39       0.0430       0.9768       0.4847       0.8518       0.000684    
40       0.0432       0.9765       0.5130       0.8531       0.000670    
41       0.0412       0.9773       0.4841       0.8647       0.000655    
42       0.0376       0.9796       0.4956       0.8584       0.000640    
43       0.0366       0.9792       0.5035       0.8554       0.000625    
44       0.0362       0.9805       0.5229       0.8522       0.000609    
45       0.0329       0.9819       0.5075       0.8666       0.000594    
46       0.0325       0.9807       0.5581       0.8568       0.000579    
47       0.0307       0.9821       0.5380       0.8601       0.000563    
48       0.0285       0.9839       0.5359       0.8605       0.000548    
49       0.0280       0.9840       0.5363       0.8578       0.000532    
50       0.0271       0.9840       0.5510       0.8662       0.000516    
