==================================================
  训练记录 - model_8
==================================================

训练时间: 2026-05-17 12:48:17
模型目录: ./model\model_8

--- 训练配置 ---
  epochs         : 100
  batch_size     : 128
  learning_rate   : 0.001
  device          : cuda:0
  loss_function   : FocalLoss (gamma=1.0)
  lr_scheduler     : CosineAnnealing
  lr_min          : 1e-06
  early_stop      : 启用
  early_stop_patience: 10
  early_stop_min_delta: 0.005
  alpha来源        : model_1_test

--- 训练结果 ---
  最佳 epoch     : 52/100
  最佳验证准确率  : 0.7578

--- 指标变化 ---
Epoch    Train Loss   Train Acc    Val Loss     Val Acc      LR          
1        1.4774       0.5899       1.5365       0.5489       0.001000    
2        1.4089       0.6481       1.5709       0.5005       0.001000    
3        1.4610       0.5951       1.5625       0.4934       0.000999    
4        1.4307       0.6275       1.5392       0.5227       0.000998    
5        1.4260       0.6291       1.4800       0.5510       0.000996    
6        1.4546       0.5953       1.5239       0.5479       0.000994    
7        1.4264       0.6204       1.5105       0.5247       0.000991    
8        1.4226       0.6150       1.5567       0.4924       0.000988    
9        1.3977       0.6442       1.4948       0.5701       0.000984    
10       1.3831       0.6608       1.3977       0.6357       0.000980    
11       1.3968       0.6440       1.4322       0.6095       0.000976    
12       1.4059       0.6407       1.4506       0.6044       0.000970    
13       1.3780       0.6695       1.4078       0.6297       0.000965    
14       1.3860       0.6498       1.4322       0.6125       0.000959    
15       1.3813       0.6589       1.4146       0.6115       0.000952    
16       1.3622       0.6753       1.4061       0.6236       0.000946    
17       1.3759       0.6585       1.4425       0.6145       0.000938    
18       1.3738       0.6680       1.4297       0.6196       0.000930    
19       1.3666       0.6706       1.4345       0.6065       0.000922    
20       1.3514       0.6822       1.3875       0.6478       0.000914    
21       1.3348       0.6993       1.5045       0.5580       0.000905    
22       1.3725       0.6729       1.4073       0.6276       0.000895    
23       1.3054       0.7190       1.3932       0.6347       0.000885    
24       1.2917       0.7255       1.3721       0.6509       0.000875    
25       1.2919       0.7313       1.3644       0.6781       0.000865    
26       1.2632       0.7620       1.3863       0.6488       0.000854    
27       1.2623       0.7629       1.3583       0.6973       0.000842    
28       1.2310       0.7901       1.3755       0.6690       0.000831    
29       1.2346       0.7830       1.3465       0.6922       0.000819    
30       1.2217       0.7914       1.3139       0.7296       0.000807    
31       1.2187       0.7994       1.3089       0.7114       0.000794    
32       1.1986       0.8128       1.3457       0.6902       0.000781    
33       1.1987       0.8113       1.3441       0.6912       0.000768    
34       1.2230       0.7962       1.3674       0.6720       0.000755    
35       1.1975       0.8145       1.3592       0.6892       0.000741    
36       1.1811       0.8264       1.3512       0.6801       0.000727    
37       1.1798       0.8310       1.3022       0.7336       0.000713    
38       1.1483       0.8550       1.3089       0.7225       0.000699    
39       1.1348       0.8642       1.3205       0.7205       0.000684    
40       1.1344       0.8621       1.3228       0.7164       0.000670    
41       1.1199       0.8740       1.3374       0.7023       0.000655    
42       1.1126       0.8792       1.3183       0.7215       0.000640    
43       1.1165       0.8800       1.3320       0.7094       0.000625    
44       1.1045       0.8889       1.2964       0.7376       0.000609    
45       1.1000       0.8900       1.3094       0.7316       0.000594    
46       1.0825       0.9040       1.3099       0.7144       0.000579    
47       1.0842       0.9014       1.3019       0.7376       0.000563    
48       1.0770       0.9064       1.3001       0.7407       0.000548    
49       1.0840       0.9038       1.3035       0.7255       0.000532    
50       1.0840       0.9040       1.3251       0.7144       0.000516    
51       1.0678       0.9161       1.3105       0.7255       0.000501    
52       1.0598       0.9233       1.2780       0.7578       0.000485    
53       1.0601       0.9220       1.2932       0.7386       0.000469    
54       1.0593       0.9248       1.3176       0.7154       0.000453    
55       1.0613       0.9222       1.2959       0.7447       0.000438    
56       1.0473       0.9343       1.2955       0.7417       0.000422    
57       1.0441       0.9356       1.2885       0.7417       0.000407    
58       1.0422       0.9369       1.2724       0.7608       0.000392    
59       1.0401       0.9397       1.2815       0.7518       0.000376    
60       1.0399       0.9399       1.2810       0.7548       0.000361    
61       1.0352       0.9436       1.2798       0.7558       0.000346    
62       1.0310       0.9462       1.2836       0.7508       0.000331    

--- 完整路径 ---
  best.pt            : ./model\model_8/best_model_8.pt
  last.pt            : ./model\model_8/last_model_8.pt
  训练曲线          : ./model\model_8/training_history_model_8.png
  tensorboard log    : ./model\model_8\log\2026-05-17-04-08-17
