Model,lambda,tau,Acc,Macro_F1
M41,0.01,0.1,0.8414,0.8413
M42,0.01,0.2,0.8478,0.8533
M43,0.01,0.3,0.8457,0.8638
M44,0.02,0.1,0.8318,0.8443
M45,0.02,0.2,0.8446,0.86
M46,0.02,0.3,0.8352,0.8443
M47,0.05,0.1,0.8565,0.8745
M48,0.05,0.2,0.8271,0.8555
M49,0.05,0.3,0.8275,0.8454
M50,0.1,0.1,0.8507,0.8672
M51,0.1,0.2,0.8228,0.8484
M52,0.1,0.3,0.8321,0.8349
M53,0.03,0.07,0.8412,0.853
M54,0.03,0.1,0.834,0.8271
M55,0.03,0.15,0.8403,0.8535
M56,0.03,0.2,0.8318,0.8504
M57,0.03,0.3,0.8425,0.8525
M58,0.04,0.07,0.8453,0.8557
M59,0.04,0.1,0.8465,0.8552
M60,0.04,0.15,0.8521,0.8609
M61,0.04,0.2,0.8494,0.862
M62,0.04,0.3,0.8406,0.854
M63,0.05,0.07,0.8423,0.8518
M64,0.05,0.1,0.8236,0.8406
M65,0.05,0.15,0.8457,0.8611
M66,0.05,0.2,0.8296,0.8379
M67,0.05,0.3,0.8347,0.8426
M68,0.07,0.07,0.8334,0.8489
M69,0.07,0.1,0.841,0.8582
M70,0.07,0.15,0.8455,0.8529
M71,0.07,0.2,0.8351,0.8525
M72,0.07,0.3,0.8273,0.8455
M73,0.1,0.07,0.8357,0.8484
M74,0.1,0.1,0.8338,0.8492
M75,0.1,0.15,0.8408,0.8566
M76,0.1,0.2,0.842,0.8553
M77,0.1,0.3,0.846,0.867
